FacilityName,RegionName,Year,Quarter,WaitTimeMinutes,DistanceToFacilityKM,PopulationCovered
Rockyview General Hospital,SW,2024,Q3,155,7.29,863
Foothills Medical Centre,NW,2024,Q3,66,8.57,791
Peter Lougheed Centre,NE,2024,Q2,34,7.27,1228
Foothills Medical Centre,NW,2024,Q3,117,13.43,1774
Peter Lougheed Centre,NE,2024,Q3,21,5.16,699
Foothills Medical Centre,NW,2024,Q3,160,3.46,893
Foothills Medical Centre,NW,2024,Q1,56,9.92,1139
South Health Campus,SE,2024,Q3,106,5.14,1371
Peter Lougheed Centre,NE,2024,Q4,128,2.76,1978
South Health Campus,SE,2024,Q4,11,0.5,945
Peter Lougheed Centre,NE,2024,Q3,155,14.06,689
Rockyview General Hospital,SW,2024,Q3,24,6.06,1277
Foothills Medical Centre,NW,2024,Q1,130,23.64,1642
Peter Lougheed Centre,NE,2024,Q4,148,12.57,1524
South Health Campus,SE,2024,Q3,105,3.82,513
Peter Lougheed Centre,NE,2024,Q4,49,2.11,995
Rockyview General Hospital,SW,2024,Q3,159,5.07,1147
Foothills Medical Centre,NW,2024,Q2,135,7.5,1701
Foothills Medical Centre,NW,2024,Q1,102,9.69,1110
Peter Lougheed Centre,NE,2024,Q4,174,22.95,1653
Foothills Medical Centre,NW,2024,Q4,145,17.07,1399
Foothills Medical Centre,NW,2024,Q3,156,16.16,1549
Rockyview General Hospital,SW,2024,Q1,144,7.13,848
South Health Campus,SE,2024,Q2,167,13.97,1700
Rockyview General Hospital,SW,2024,Q1,114,8.34,1456
Foothills Medical Centre,NW,2024,Q2,134,6.96,1951
Rockyview General Hospital,SW,2024,Q2,59,14.19,1138
South Health Campus,SE,2024,Q2,12,12.34,1392
Peter Lougheed Centre,NE,2024,Q1,85,7.63,873
South Health Campus,SE,2024,Q2,119,0.5,1612
Rockyview General Hospital,SW,2024,Q2,174,7.07,623
Rockyview General Hospital,SW,2024,Q4,171,11.21,1849
Peter Lougheed Centre,NE,2024,Q3,173,6.31,1112
Peter Lougheed Centre,NE,2024,Q1,14,9.58,1473
Peter Lougheed Centre,NE,2024,Q4,26,3.96,1510
Foothills Medical Centre,NW,2024,Q3,110,13.65,1394
Peter Lougheed Centre,NE,2024,Q4,170,0.5,1070
Peter Lougheed Centre,NE,2024,Q4,104,0.5,999
Peter Lougheed Centre,NE,2024,Q4,48,3.79,1032
Rockyview General Hospital,SW,2024,Q3,84,4.44,1061
Rockyview General Hospital,SW,2024,Q2,118,4.02,525
South Health Campus,SE,2024,Q2,20,5.05,1510
South Health Campus,SE,2024,Q2,154,5.76,759
Foothills Medical Centre,NW,2024,Q4,87,14.8,1853
Foothills Medical Centre,NW,2024,Q3,118,6.9,1131
Peter Lougheed Centre,NE,2024,Q4,168,8.61,695
Foothills Medical Centre,NW,2024,Q4,140,7.17,688
Foothills Medical Centre,NW,2024,Q1,123,4.62,806
Foothills Medical Centre,NW,2024,Q4,105,7.02,1530
Foothills Medical Centre,NW,2024,Q3,29,10.3,1686
Rockyview General Hospital,SW,2024,Q3,49,10.29,538
South Health Campus,SE,2024,Q1,50,9.89,906
Peter Lougheed Centre,NE,2024,Q2,101,2.7,994
Peter Lougheed Centre,NE,2024,Q4,149,8.4,1990
Peter Lougheed Centre,NE,2024,Q3,43,10.44,630
Peter Lougheed Centre,NE,2024,Q3,26,10.69,1666
Peter Lougheed Centre,NE,2024,Q2,114,10.59,969
Peter Lougheed Centre,NE,2024,Q2,113,8.63,1952
Peter Lougheed Centre,NE,2024,Q2,65,7.61,968
Foothills Medical Centre,NW,2024,Q2,84,5.27,775
Foothills Medical Centre,NW,2024,Q2,80,7.1,1601
Rockyview General Hospital,SW,2024,Q3,19,9.57,1893
South Health Campus,SE,2024,Q2,25,0.5,1143
Foothills Medical Centre,NW,2024,Q4,38,9.81,984
Peter Lougheed Centre,NE,2024,Q3,39,13.89,1159
Rockyview General Hospital,SW,2024,Q3,152,4.48,1326
Foothills Medical Centre,NW,2024,Q3,160,17.59,1843
South Health Campus,SE,2024,Q1,159,7.06,1094
South Health Campus,SE,2024,Q3,115,9.48,1906
Rockyview General Hospital,SW,2024,Q1,63,2.15,1467
Foothills Medical Centre,NW,2024,Q1,39,4.62,1522
Peter Lougheed Centre,NE,2024,Q1,78,9.44,1758
Peter Lougheed Centre,NE,2024,Q4,42,10.55,984
South Health Campus,SE,2024,Q1,131,6.09,970
Peter Lougheed Centre,NE,2024,Q3,81,6.32,614
Rockyview General Hospital,SW,2024,Q3,13,9.37,1990
South Health Campus,SE,2024,Q1,45,0.5,1151
South Health Campus,SE,2024,Q1,119,6.91,855
Rockyview General Hospital,SW,2024,Q2,139,6.97,674
Peter Lougheed Centre,NE,2024,Q4,154,2.88,841
Peter Lougheed Centre,NE,2024,Q4,17,7.51,1092
Foothills Medical Centre,NW,2024,Q4,48,2.9,837
Foothills Medical Centre,NW,2024,Q2,97,6.74,720
Rockyview General Hospital,SW,2024,Q2,137,3.17,1911
Rockyview General Hospital,SW,2024,Q3,104,12.51,687
Foothills Medical Centre,NW,2024,Q3,169,5.59,831
Rockyview General Hospital,SW,2024,Q4,47,4.5,1707
South Health Campus,SE,2024,Q2,165,4.28,1034
Peter Lougheed Centre,NE,2024,Q3,125,17.9,1759
Peter Lougheed Centre,NE,2024,Q4,125,14.31,1168
Rockyview General Hospital,SW,2024,Q3,131,3.71,936
Rockyview General Hospital,SW,2024,Q1,55,11.88,541
South Health Campus,SE,2024,Q4,103,12.42,1303
Rockyview General Hospital,SW,2024,Q4,17,2.64,1179
Peter Lougheed Centre,NE,2024,Q2,10,0.99,1712
Foothills Medical Centre,NW,2024,Q4,66,12.66,513
Foothills Medical Centre,NW,2024,Q3,43,14.69,921
Peter Lougheed Centre,NE,2024,Q3,109,10.44,929
Rockyview General Hospital,SW,2024,Q3,68,7.68,1176
Rockyview General Hospital,SW,2024,Q2,52,0.5,794
Peter Lougheed Centre,NE,2024,Q2,165,11,1529
Peter Lougheed Centre,NE,2024,Q2,79,4.97,1801
Peter Lougheed Centre,NE,2024,Q2,10,10.73,532
Foothills Medical Centre,NW,2024,Q1,50,8.62,1318
Rockyview General Hospital,SW,2024,Q4,144,9.99,549
Rockyview General Hospital,SW,2024,Q3,147,5.75,1965
South Health Campus,SE,2024,Q3,164,7.83,1572
South Health Campus,SE,2024,Q3,126,11.74,909
South Health Campus,SE,2024,Q1,163,17.21,1885
Peter Lougheed Centre,NE,2024,Q2,141,16.44,1473
South Health Campus,SE,2024,Q4,94,6.97,961
South Health Campus,SE,2024,Q3,96,18.21,1459
South Health Campus,SE,2024,Q4,151,0.5,1173
South Health Campus,SE,2024,Q4,95,2.3,1692
Rockyview General Hospital,SW,2024,Q2,170,1.44,1368
Peter Lougheed Centre,NE,2024,Q1,60,2.04,1996
Rockyview General Hospital,SW,2024,Q4,112,15.52,917
Rockyview General Hospital,SW,2024,Q2,41,6.67,1903
Foothills Medical Centre,NW,2024,Q2,25,8.89,935
Peter Lougheed Centre,NE,2024,Q4,136,4.44,1239
Foothills Medical Centre,NW,2024,Q1,136,6.38,1128
Rockyview General Hospital,SW,2024,Q4,18,8.75,1070
Foothills Medical Centre,NW,2024,Q3,96,0.84,1441
Rockyview General Hospital,SW,2024,Q4,171,22.33,1967
South Health Campus,SE,2024,Q3,76,15.46,566
South Health Campus,SE,2024,Q4,128,11.24,637
South Health Campus,SE,2024,Q1,120,7.2,507
Foothills Medical Centre,NW,2024,Q4,77,11.77,1858
Rockyview General Hospital,SW,2024,Q4,154,4.97,1909
South Health Campus,SE,2024,Q1,149,8.19,1123
Rockyview General Hospital,SW,2024,Q1,17,0.65,1258
Rockyview General Hospital,SW,2024,Q3,107,8.9,798
Peter Lougheed Centre,NE,2024,Q3,66,7.58,1018
South Health Campus,SE,2024,Q1,24,11.58,533
Foothills Medical Centre,NW,2024,Q2,84,12.03,998
Peter Lougheed Centre,NE,2024,Q1,164,14.87,990
Peter Lougheed Centre,NE,2024,Q1,95,14.58,1214
Foothills Medical Centre,NW,2024,Q4,67,9.87,926
South Health Campus,SE,2024,Q2,101,6.84,614
Peter Lougheed Centre,NE,2024,Q1,100,5.28,1549
South Health Campus,SE,2024,Q1,43,6.16,1784
Rockyview General Hospital,SW,2024,Q2,73,9.72,1147
Rockyview General Hospital,SW,2024,Q4,131,7.89,541
Peter Lougheed Centre,NE,2024,Q2,146,4.94,1301
South Health Campus,SE,2024,Q2,43,13.93,759
Peter Lougheed Centre,NE,2024,Q3,105,9.74,1678
Foothills Medical Centre,NW,2024,Q3,174,5.85,1617
Peter Lougheed Centre,NE,2024,Q3,46,1.01,1605
South Health Campus,SE,2024,Q4,179,12.21,1375
Foothills Medical Centre,NW,2024,Q2,98,7.6,527
Peter Lougheed Centre,NE,2024,Q2,163,19.26,1682
Rockyview General Hospital,SW,2024,Q1,56,14.47,1090
Foothills Medical Centre,NW,2024,Q3,141,8.6,931
Foothills Medical Centre,NW,2024,Q4,60,5.87,1870
Foothills Medical Centre,NW,2024,Q2,101,7.44,775
Rockyview General Hospital,SW,2024,Q4,177,1.97,1618
Foothills Medical Centre,NW,2024,Q1,13,17.95,898
Foothills Medical Centre,NW,2024,Q3,168,19.82,784
South Health Campus,SE,2024,Q4,17,18.85,1261
Peter Lougheed Centre,NE,2024,Q4,85,0.5,1951
Foothills Medical Centre,NW,2024,Q2,16,2.65,1408
Peter Lougheed Centre,NE,2024,Q3,35,8.06,656
Peter Lougheed Centre,NE,2024,Q3,66,4.36,1506
Rockyview General Hospital,SW,2024,Q2,16,6.39,1075
South Health Campus,SE,2024,Q4,34,8.68,614
Foothills Medical Centre,NW,2024,Q2,170,14.72,556
Peter Lougheed Centre,NE,2024,Q1,141,14.48,1281
South Health Campus,SE,2024,Q2,28,3.09,1907
Peter Lougheed Centre,NE,2024,Q3,121,8.83,681
Foothills Medical Centre,NW,2024,Q4,64,5.68,917
Rockyview General Hospital,SW,2024,Q4,147,7.3,1083
Peter Lougheed Centre,NE,2024,Q4,44,4.65,1285
Rockyview General Hospital,SW,2024,Q3,59,6.7,690
Foothills Medical Centre,NW,2024,Q2,78,0.5,734
Rockyview General Hospital,SW,2024,Q2,92,2.67,1775
Foothills Medical Centre,NW,2024,Q3,101,14.82,1932
Rockyview General Hospital,SW,2024,Q3,155,7.83,1360
Peter Lougheed Centre,NE,2024,Q4,58,2.29,1246
Rockyview General Hospital,SW,2024,Q3,16,13.03,670
Foothills Medical Centre,NW,2024,Q3,30,7.26,823
South Health Campus,SE,2024,Q2,169,3.25,1673
South Health Campus,SE,2024,Q1,121,8.95,1020
Foothills Medical Centre,NW,2024,Q2,103,14.44,1453
Rockyview General Hospital,SW,2024,Q3,39,10.86,1029
Foothills Medical Centre,NW,2024,Q2,96,10.5,1148
Foothills Medical Centre,NW,2024,Q2,20,7.05,1051
Foothills Medical Centre,NW,2024,Q1,147,13.03,1492
Peter Lougheed Centre,NE,2024,Q2,53,12.91,522
South Health Campus,SE,2024,Q3,74,12.6,1007
Peter Lougheed Centre,NE,2024,Q3,25,14.81,717
Foothills Medical Centre,NW,2024,Q3,18,9.82,1922
Peter Lougheed Centre,NE,2024,Q3,58,6.74,1103
Rockyview General Hospital,SW,2024,Q2,139,9.18,637
